name,type,significance,Coord A,Coord B,Coord C,Coord D
Arabian Sea Fleet Air Defense Zone,Carrier Battle Group Air Defense Training Area,Practice of coordinated fleet air defense with carrier-based aircraft,"[15.0, 65.0]","[15.0, 70.0]","[20.0, 70.0]","[20.0, 65.0]"
Eastern Seaboard Integrated Air Defense Sector,Multi-Layer Air Defense Exercise Zone,Coordination of ship-based and coastal air defense systems,"[15.0, 82.0]","[15.0, 85.0]","[19.0, 85.0]","[19.0, 82.0]"
Lakshadweep Islands Air Defense Perimeter,Island Chain Air Defense Training Area,Practice of air defense for scattered island territories,"[8.0, 72.0]","[8.0, 74.0]","[12.0, 74.0]","[12.0, 72.0]"
Andaman and Nicobar Air Defense Exercise Zone,Long-Range Maritime Air Defense Area,Training in extended range air defense for remote island chains,"[6.0, 92.0]","[6.0, 94.0]","[14.0, 94.0]","[14.0, 92.0]"
Gujarat Coast Air Defense Sector,Coastal Air Defense Training Zone,Practice of defending strategic coastal installations from air threats,"[20.0, 68.0]","[20.0, 72.0]","[23.0, 72.0]","[23.0, 68.0]"
Bay of Bengal Fleet Air Defense Training Area,Large-Scale Naval Air Defense Exercise Zone,Coordination of multiple ship and aircraft groups for air defense,"[12.0, 85.0]","[12.0, 90.0]","[16.0, 90.0]","[16.0, 85.0]"
Mumbai High Offshore Air Defense Zone,Critical Infrastructure Air Defense Area,Training in air defense of offshore oil and gas installations,"[19.0, 71.0]","[19.0, 72.5]","[20.5, 72.5]","[20.5, 71.0]"
Visakhapatnam Naval Base Air Defense Sector,Strategic Asset Air Defense Training Zone,Practice of multi-layered air defense for key naval facilities,"[17.0, 83.0]","[17.0, 84.0]","[18.0, 84.0]","[18.0, 83.0]"
Kochi Naval Air Station Defense Exercise Area,Airfield Defense Training Zone,Simulations of defending naval air bases from aerial attacks,"[9.5, 76.0]","[9.5, 76.5]","[10.0, 76.5]","[10.0, 76.0]"
Karwar Naval Base Air Defense Sector,Advanced Naval Facility Air Defense Zone,Training in protecting modern naval infrastructure from air threats,"[14.5, 74.0]","[14.5, 74.5]","[15.0, 74.5]","[15.0, 74.0]"
Chilika Air Defense Training Sector,Low-Altitude Air Defense Exercise Zone,Practice of countering low-flying aircraft and cruise missiles,"[19.5, 85.0]","[19.5, 85.5]","[20.0, 85.5]","[20.0, 85.0]"
Port Blair Air Defense Perimeter,Island Capital Air Defense Training Area,Exercises in defending key administrative centers on strategic islands,"[11.5, 92.5]","[11.5, 93.0]","[12.0, 93.0]","[12.0, 92.5]"
Kakinada Offshore Air Defense Zone,Gas Field Air Defense Training Area,Practice of air defense for offshore energy infrastructure,"[16.5, 82.0]","[16.5, 83.0]","[17.5, 83.0]","[17.5, 82.0]"
Goa Naval Aviation Air Defense Sector,Maritime Patrol Aircraft Base Defense Zone,Training in protecting naval air assets and facilities,"[15.0, 73.5]","[15.0, 74.0]","[15.5, 74.0]","[15.5, 73.5]"
Dwarka Point Air Defense Exercise Area,Coastal Radar Station Defense Zone,Practice of integrating coastal radar with air defense systems,"[22.0, 68.5]","[22.0, 69.0]","[22.5, 69.0]","[22.5, 68.5]"
Car Nicobar Air Base Defense Sector,Forward Airfield Protection Training Zone,"Exercises in defending remote, strategic air bases","[9.0, 92.5]","[9.0, 93.0]","[9.5, 93.0]","[9.5, 92.5]"
Kalpakkam Nuclear Facility Air Defense Zone,Critical National Asset Air Defense Area,Training in air defense of nuclear installations near coast,"[12.5, 80.0]","[12.5, 80.5]","[13.0, 80.5]","[13.0, 80.0]"
Porbandar Air Defense Exercise Sector,Forward Operating Base Air Defense Zone,Practice of air defense for naval detachments and forward bases,"[21.5, 69.5]","[21.5, 70.0]","[22.0, 70.0]","[22.0, 69.5]"
Sundarbans Delta Air Defense Training Area,Low-Level Air Intrusion Defense Zone,Training in detecting and countering low-altitude air threats in complex terrain,"[21.5, 88.5]","[21.5, 89.5]","[22.5, 89.5]","[22.5, 88.5]"
Minicoy Island Air Defense Sector,Remote Island Air Defense Training Zone,"Practice of air defense for isolated, strategic island outposts","[8.0, 72.5]","[8.0, 73.5]","[9.0, 73.5]","[9.0, 72.5]"
Paradip Port Air Defense Exercise Area,Major Port Facility Air Defense Zone,Training in air defense of critical maritime trade infrastructure,"[20.0, 86.5]","[20.0, 87.0]","[20.5, 87.0]","[20.5, 86.5]"
Lakshadweep Sea Extended Air Defense Zone,Over-the-Horizon Air Defense Training Area,Practice of long-range air threat detection and engagement,"[10.0, 70.0]","[10.0, 74.0]","[14.0, 74.0]","[14.0, 70.0]"
Andaman Sea Air-Sea Integration Zone,Combined Air-Naval Defense Exercise Area,Training in coordinated air and naval defense operations,"[11.0, 92.0]","[11.0, 94.0]","[13.0, 94.0]","[13.0, 92.0]"
Kavatti Island Radar Picket Training Zone,Early Warning Radar Defense Exercise Area,Practice of integrating forward radar pickets with air defense network,"[10.5, 72.5]","[10.5, 73.0]","[11.0, 73.0]","[11.0, 72.5]"
Nicobar Islands Southern Air Defense Sector,Strategic Chokepoint Air Defense Zone,Training in air defense of critical maritime passages,"[6.5, 93.5]","[6.5, 94.5]","[7.5, 94.5]","[7.5, 93.5]"
Arabian Sea Western Sector Air Patrol,Long-Range Maritime Reconnaissance Zone,Extended surveillance of western approaches to Indian waters,"[15.0, 60.0]","[15.0, 68.0]","[20.0, 68.0]","[20.0, 60.0]"
Bay of Bengal Eastern Sector Air Patrol,Wide-Area Maritime Surveillance Zone,Monitoring of eastern seaboard and approaches,"[10.0, 85.0]","[10.0, 90.0]","[18.0, 90.0]","[18.0, 85.0]"
Lakshadweep Sea Air Surveillance Sector,Island Territory and EEZ Patrol Zone,Aerial monitoring of Lakshadweep Islands and surrounding waters,"[8.0, 71.0]","[8.0, 75.0]","[14.0, 75.0]","[14.0, 71.0]"
Andaman Sea Air Reconnaissance Area,Far Eastern Maritime Patrol Zone,Surveillance of Andaman Sea and western approaches to Malacca Strait,"[6.0, 91.0]","[6.0, 96.0]","[14.0, 96.0]","[14.0, 91.0]"
Gujarat Coastal Air Patrol Sector,Northwestern Maritime Border Surveillance Zone,Aerial monitoring of India-Pakistan maritime border and approaches,"[20.0, 68.0]","[20.0, 72.0]","[24.0, 72.0]","[24.0, 68.0]"
Southern Peninsula Coastal Air Surveillance Sector,Multi-Coastal Zone Patrol Area,"Aerial monitoring of Kerala, Tamil Nadu, and southern Andhra Pradesh coasts","[8.0, 76.0]","[8.0, 80.0]","[15.0, 80.0]","[15.0, 76.0]"
Northern Bay of Bengal Air Reconnaissance Zone,Tri-Nation Maritime Border Surveillance Area,Aerial patrols near India-Bangladesh-Myanmar maritime boundaries,"[18.0, 87.0]","[18.0, 93.0]","[21.0, 93.0]","[21.0, 87.0]"
Nicobar Islands Southern Approach Air Patrol,Far South Eastern Maritime Surveillance Zone,Monitoring of southern approaches to Andaman and Nicobar Islands,"[5.0, 91.0]","[5.0, 95.0]","[8.0, 95.0]","[8.0, 91.0]"
Central Arabian Sea Extended Air Patrol,Deep Sea Long-Range Reconnaissance Zone,Far-reaching patrols for maritime domain awareness in central Arabian Sea,"[12.0, 60.0]","[12.0, 68.0]","[18.0, 68.0]","[18.0, 60.0]"
Odisha-West Bengal Coastal Air Surveillance Sector,Eastern Seaboard Patrol Zone,Aerial monitoring of upper east coast and offshore areas,"[18.0, 84.0]","[18.0, 88.0]","[22.0, 88.0]","[22.0, 84.0]"
Strait of Malacca Approach Air Reconnaissance Zone,Strategic Waterway Monitoring Area,Long-range patrols observing western entrance to Malacca Strait,"[4.0, 92.0]","[4.0, 96.0]","[8.0, 96.0]","[8.0, 92.0]"
Gujarat-Maharashtra Coastal Transition Air Patrol,Western Seaboard Surveillance Zone,Aerial monitoring of transition between northwestern and west-central coast,"[18.0, 70.0]","[18.0, 73.0]","[22.0, 73.0]","[22.0, 70.0]"
Palk Bay-Gulf of Mannar Air Surveillance Sector,India-Sri Lanka Maritime Border Patrol Zone,Aerial monitoring of narrow waters between India and Sri Lanka,"[8.0, 78.0]","[8.0, 80.0]","[10.0, 80.0]","[10.0, 78.0]"
Sundarbans-Bangladesh Border Air Reconnaissance Area,Complex Delta Region Surveillance Zone,Aerial patrols over intricate waterways of Sundarbans and maritime border,"[21.0, 88.0]","[21.0, 90.0]","[23.0, 90.0]","[23.0, 88.0]"
